Target type,Geography,Target,First announced,Date in effect,Legal authority,Rate,Sources,,,,,,
Economy,Afghanistan,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,,,,
Economy,Algeria,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Angola,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Argentina,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Australia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Bangladesh,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,20%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,Executive Order
Economy,"""Bolivia, Plurinational State of""",Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,,,,
Economy,Bosnia and Herzegovina,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,30%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,Botswana,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Brazil,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Brazil,Unfair trade practices,7/15/2025,TBD,Section 301,TBD,USTR Press Release,90 FR 34069,,,,,
Economy,Brunei,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,25%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Cambodia,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,19%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,Executive Order
Economy,Cameroon,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Canada,USMCA noncompliant goods,2/1/2025,3/4/2025,IEEPA,25%,White House Fact Sheet,,,,,,
Economy,Canada,USMCA noncompliant energy products,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,
Economy,Canada,USMCA noncompliant potash,2/1/2025,3/4/2025,IEEPA,10%,White House Fact Sheet,,,,,,
Economy,Canada,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,35%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Canada,Non-reciprocal trade: Individual rate,2/21/2025,TBD,Section 301,TBD,White House Fact Sheet,,,,,,
Economy,Chad,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,China,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,125%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,China,Modified: Non-reciprocal trade,5/12/2025,5/14/2025,IEEPA,10%,,,,,,,
Economy,China,Synthetic opioids,2/1/2025,2/4/2025,IEEPA,20%,EO 14195,EO 14228,,,,,
Economy,Costa Rica,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,,,,
Economy,Côte d`Ivoire,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Democratic Republic of the Congo,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,Executive Order,
Economy,Ecuador,Non-reciprocal trade: Individual rate,8/1/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,Executive Order,,,,
Economy,Equatorial Guinea,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,13%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,European Union,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,White House Fact Sheet,
Economy,European Union,Non-reciprocal trade: Individual rate,2/21/2025,TBD,Section 301,TBD,Presidential Action ,,,,,,
Economy,Falkland Islands,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Economy,Fiji,Non-reciprocal trade: Individual rate,4/2/2025,8/7/2025,IEEPA,15%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Other,Global,Non-reciprocal trade: Global baseline,4/2/2025,4/5/2025,IEEPA,10%,USTR Press Release,EO 14257,EO 14266,ANNEX I,EO 14316,,
Sector,Global,Steel and aluminum,2/10/2025,3/12/2025,Section 232,25%,Proclamation 10895,90 FR 11251,Proclamation 10896,,,,
